participant_id,session_id,source_file,source_hash,event_count_total,first_timestamp,last_timestamp,session_duration_min,active_duration_min,meaningful_event_count,deliberate_planning_event_count,heatmap_event_count,pointer_move_count,click_count,scroll_count,hover_dwell_count,build_edit_count,semantic_delta_count,saved_build_event_count,saved_build_created_count,saved_build_loaded_count,saved_build_deleted_count,party_event_count,party_slot_event_count,party_slot_assigned_count,unique_party_snapshots,party_coverage_unique_state_count,party_gap_unique_state_count,visualization_event_count,data_circle_focus_select_count,data_circle_hover_dwell_count,tooltip_open_count,highlight_interaction_count,damage_preview_update_count,evaluation_event_count,evaluation_request_count,evaluation_success_count,evaluation_failure_count,friction_event_count,invalid_selection_count,edits_after_visualization_30s,edits_after_visualization_60s,median_visualization_to_edit_latency_30s,median_visualization_to_edit_latency_60s,edits_after_evaluation_60s,median_evaluation_to_edit_latency_60s,idle_gap_over_2min_count,idle_gap_over_5min_count,longest_idle_gap_min,unique_changed_fields,unique_build_states_from_edits,unique_classes_seen_in_edits,unique_subclasses_seen_in_edits,unique_races_seen_in_edits,visual_profile_changing_edit_count,roles_added_total,damage_types_added_total,range_bands_added_total,resources_added_total,edit_category_identity_background_count,edit_category_class_level_count,edit_category_spells_count,edit_category_actions_features_count,edit_category_skills_count,edit_category_feats_count,edit_category_ability_scores_count,edit_category_other_count,edit_category_unknown_count,unique_focus_layers,unique_focus_keys,unique_focus_sources,data_circle_total_dwell_sec,editor_or_main_focus_event_count,aggregate_or_party_focus_event_count,party_gap_response_edit_event_count,party_gap_response_unique_edit_count,party_gap_response_within_30s_count,party_gap_response_within_60s_count,median_gap_response_latency_sec,gap_response_unique_gap_keys,final_party_complete,post_task_survey_completed,exported_as_zip,final_filled_party_slots,final_empty_party_slots,final_party_gap_count,final_high_severity_gap_count,final_medium_severity_gap_count,final_gap_keys,final_redundancy_score,simulator_status_at_end,simulator_average_dpr_raw_at_end,simulator_average_dpr_interpretable_at_end,final_selected_ability_count,final_damage_ability_count,final_utility_ability_count,final_healing_count,final_control_count,final_support_count,final_mobility_count,final_long_range_count,final_area_damage_count,final_single_target_damage_count,final_concentration_count,final_role_count,final_damage_type_count,final_range_band_count,final_resource_count,final_unique_class_count,final_classes,build_edits_per_active_min,visualization_events_per_active_min,friction_events_per_active_min,meaningful_events_per_active_min,deliberate_events_per_active_min,survey_source_file,survey_source_hash,survey_exported_at,survey_exported_at_ms,pre_submitted_at,post_submitted_at,required_consent,anonymized_quotes_consent,data_reuse_consent,pre_bg3_familiarity,pre_dnd_or_rpg_systems_familiarity,pre_charts_visual_summaries_familiarity,pre_build_planning_familiarity,pre_external_resources_frequency,pre_priority_damage_combat_performance,pre_priority_survivability,pre_priority_party_balance,pre_priority_clear_party_roles,pre_priority_roleplay_character_fantasy,pre_priority_narrative_strength,pre_priority_experimentation,pre_priority_ease_of_use,pre_priority_versatility,pre_build_priorities_other,exploration_iteration_overall,final_party_confidence,reasoning_tradeoffs_party_overall,balanced_autonomous_decision,understood_visualization,noticed_party_patterns,interactive_explanation,readable,appropriate_for_bg3,visual_style_fit,engaging_creative_exploration,post_factor_damage_combat_performance,post_factor_survivability,post_factor_party_balance,post_factor_clear_party_roles,post_factor_roleplay_character_fantasy,post_factor_narrative_strength,post_factor_experimentation,post_factor_ease_of_use,post_factor_versatility,post_factor_visualization_observation,post_factor_prior_bg3_knowledge,open_supported_exploration,open_blocked_exploration,open_changed_normal_planning,open_suggested_change,open_optional_comments,open_factor_visualization_observation,open_factor_other,pre_domain_experience_index,pre_overall_experience_index,bg3_experience_group,survey_exploration_support_score,survey_decision_reasoning_score,survey_visualization_interpretation_score,survey_game_context_fit_score,survey_overall_post_score,has_external_survey_file,user_agent,platform,time_zone_offset_min,screen_width,screen_height,viewport_width,viewport_height,device_pixel_ratio,mobile_like_viewport,log_exploration_breadth_index,log_revision_depth_index,log_visualization_engagement_index,log_party_reasoning_index,log_friction_index
Uriel_Septim_VII,Uriel_Septim_VII,bg3-study-export-Uriel_Septim_VII-2026-06-02T11-56-49-064Z(1)__bg3-study-log-Uriel_Septim_VII-converted-new-format(1).jsonl,fc99d91d6b4c5aec1302787f45843dd54f80a8ae6dd9b8723f7c37c19e705b2e,18881,2026-06-02 10:19:52.953000+00:00,2026-06-02 11:56:49.064000+00:00,96.93518333333331,58.121116666666666,9200,6713,9608,5776,1124,0,1751,590,590,646,5,3,1,1870,16,13,528,528,528,4749,242,58,1645,214,0,0,0,0,0,55,55,269,357,5.986,16.603,0,,4,0,2.4383166666666667,16,497,5,5,7,148,40,40,0,0,198,56,104,0,0,69,141,22,0,4,66,5,243.03,1106,239,588,495,575,584,0.7344999999999999,7,True,True,True,4,0,1,1,0,long-range,0.9484536082474226,idle,0,,125,35,90,3,36,32,21,0,7,28,0,10,13,0,0,4,Rogue;Bard;Wizard;Warlock,10.151215837502548,81.7086847666095,0.946299781462102,158.2901452627516,115.50018969009255,bg3-study-export-Uriel_Septim_VII-2026-06-02T11-56-49-064Z(1)__bg3-study-survey-Uriel_Septim_VII-converted-new-format(1).json,ca116a4a48fbd4e742f8c0362009092931a2d618dbed5de780b81b430db5bb44,2026-06-02T11:56:49.064Z,1780401409064,2026-06-02T10:19:52.953Z,2026-06-02T11:56:49.062Z,True,True,True,3.0,3.0,3.0,3.0,4.0,True,False,False,True,True,True,True,False,False,,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,True,True,False,True,True,True,True,False,True,True,False,"Being able to quickly see how changing subclasses affects a high level character (rather than checking level by level like in the game, or seeing the info seperately on a wiki) encouraged me to experiment and led me to change most of the characters quite a bit.

The tool made it helpful to see the different damage types and made me not focus too much on a single type (e.g. making a necro warlock makes you want to pick those spells, but after seeing that the character had little variety made me diversify the spells)

The main usefulness was in seeing the spread of damage types, ranges and utility vs damage.

Being able to see changes quickly (e.g. changing races, subraces, subclasses) and how it affects the character made me look at more choices than I usually would sinc eit so quick.","A minor downside of planning a fully leveled character is failing to see exactly which choices one will make at each level so as to have a clear progression during gameplay, but I feel that is easy to figure out during gameplay as you can see the choices available upon level up.","Since I usually do not use third party tools but wikis instead, this made the information much easier to access (everything is in one place), and you can see how the different choices affect each other.","Improve readability

Some of the text in the wheel is too small so a bit harder to read than I would like. 

About understanding the visualization, I did fully understand (I think) the visualization, but only after playing with it for some time and not immediately.","Exploration/history comment: Regarding the tool helping me check previous version, I put 'neither' as I did not use the feature. When making single characters it would probably be less useful since the complexity of any one character is not very high. It would probably be more useful when making in depth experimentation of a full party, which I did not do here.

Autonomy and optimization comment: Regarding the task not feeling like optimisation: I agree with the statement and the tool does not inherently push towards maximising damage (no rankings, showing which options do more damage etc.), though having direct feedback when making a choice (seeing the number go up and also the circle getting bigger) makes it more likely to keep damaging spells instead of support spells. Still those are useful features that are worth having despite this.

Feature usefulness comment: I did not find myself using the small party member circles to check on the other members much, but I think that is because I just made them now rather than having characters I made a while ago, as I remembered all the choices I made with them. 

For the build history, as I focused more on the individual characters rather than making many party iterations I also did not use this feature much,

Did not use the simulator.

Missing information comment: None that I could think of (as in I never yearned for information and could not find it).","Seeing the spread of different damage ranges and damage types made me diversify the characters more (or focus them in case of ranged only characters where I did not care for non ranged options, though in those cases it reminded me to select utility spells for escaping back into desired range)",,3.0,3.0,high,4.5,4.0,4.25,4.0,4.181818181818182,True,,,,,,,,,False,0.664374441867416,1.2062327114200495,0.6642378750982635,1.5226158907424852,-0.09339845525585527
Yoloman,Yoloman,bg3-study-export-Yoloman-2026-06-03T13-13-34-575Z__bg3-study-log-Yoloman-converted-new-format(1).jsonl,b7bb74954cdd92907b18b1bb6d4357c11840cac9876891466bf2bc02f0b22750,5712,2026-06-03 12:39:32.234000+00:00,2026-06-03 13:13:34.575000+00:00,34.03901666666667,24.36488333333333,2698,1359,3005,1621,474,0,504,309,309,294,5,1,0,990,3,3,305,305,305,342,64,26,25,11,23,0,0,0,0,27,27,78,172,21.2555,31.529,0,,0,0,1.1655666666666666,14,284,5,5,5,22,30,22,0,0,144,35,0,0,0,15,111,4,0,4,27,5,82.344,215,45,307,282,302,306,0.26,7,True,True,True,4,0,1,1,0,long-range,0.9473684210526316,idle,0,,114,59,55,4,25,37,29,0,7,52,0,10,12,0,0,4,Rogue;Monk;Druid;Paladin,12.682186726388318,14.036595017556005,1.1081522382281055,110.7331384718307,55.77699599081465,bg3-study-export-Yoloman-2026-06-03T13-13-34-575Z__bg3-study-survey-Yoloman-converted-new-format(1).json,62fb7ef8441d64548431082400bb187a742453c4769a0d39c4435140274d6223,2026-06-03T13:13:34.575Z,1780492414575,2026-06-03T12:39:32.234Z,2026-06-03T13:13:34.574Z,True,True,True,1.0,2.0,2.0,2.0,3.0,False,True,False,False,False,False,True,True,True,,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,False,False,True,False,False,True,False,False,True,True,False,Yes I tried to average and spread the damage information over the 4 team characters.,The dropdown lists when selecting characteristics. I think that the lack of explanations for each characteristic was missing for the reason why to choose it.,That you have a list of saved characters that you can save and load on the sidebar.,,,Yes I tried to average and spread the damage information over the 4 team characters.,,1.6666666666666667,1.75,low,4.0,4.0,4.25,4.5,4.181818181818182,True,,,,,,,,,False,-0.6155440210340369,-0.8341995959454288,-1.0540979863945952,-0.7844189070707135,-0.6982092088866554
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,bg3-study-export-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z__bg3-study-log-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z.jsonl,eea62adcddcb81d73d11ab4ec82c6d2d18dee89a65360afc47eee9a0f866e108,20022,2026-06-03 16:25:40.485000+00:00,2026-06-03 18:20:52.897000+00:00,115.20686666666668,70.51318333333333,9013,7342,10984,8451,806,0,1028,382,382,342,4,0,0,1178,3,3,352,352,352,6155,358,52,2270,74,35,0,0,0,0,48,48,128,165,0.0665,2.409,0,,5,0,4.509,15,338,6,5,5,101,35,23,0,0,133,29,77,0,9,31,103,0,0,4,74,4,175.301,1171,415,379,336,353,373,1.453,7,True,True,True,4,0,1,1,0,long-range,0.946524064171123,idle,0,,122,56,66,9,40,33,7,0,18,38,0,10,12,0,0,4,Rogue;Bard;Fighter;Cleric,5.41742667033186,87.28864176935235,0.6807237700940557,127.82006958036924,104.12237333396996,bg3-study-export-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z__bg3-study-survey-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z.json,ecaa70170ddc2ef1466f8881fb11b1ff6b7010d2016eea0253279e6492b7fd47,2026-06-03T18:20:52.897Z,1780510852897,2026-06-03T16:27:25.618Z,2026-06-03T18:20:52.896Z,True,True,True,3.0,3.0,3.0,3.0,3.0,True,True,True,False,False,True,True,False,False,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True,True,True,True,False,True,False,True,True,False,True,"The part that was most helpful for me was the visualization and the ability to interact with it. It allowed me to easily follow the results, identify where my party was unbalanced, and fix it right away. ","I think the drop-down menus slightly blocked the exploration process, because someone new to the game might not be familiar with the classes, backgrounds, subclasses, and other options.

They would need to search online to better understand the options and choose their characters’ traits wisely.

I believe the ability improvement feature was a very good example of how a short explanation can help clarify the outcome of these choices.","I just follow guides if I'm trying to Min-Max a build. 

However, If I want to experiment and make my own build, I would use this tool to do so and to see where the build is rough around the edges.","As I mentioned before, adding a short explanation to each drop-down menu option would be helpful for new users to follow. It would also serve as a useful reminder for experienced users, helping them understand how the differences between options could affect the final outcome and choose the traits that best suit their vision for the characters.","I really liked the accessibility of the tool and the ability to easily see and change all of my trait choices in one place.

I also liked that the tool matched the theme of the game, which made it feel more connected to the overall experience. It really looked like it was part of the game, rather than something detached from it.
",,,3.0,3.0,high,4.0,4.666666666666667,4.0,4.0,4.181818181818182,True,,,,,,,,,False,-0.14229040551094443,-0.2597787057016823,1.1789128920447254,-0.11971946450889129,-0.24460114366355531
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,bg3-study-export-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z__bg3-study-log-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z.jsonl,af4305fd2bc5830f8836563f7cff418e805aa570892e71d88e0b41d49d770215,17844,2026-06-04 18:37:24.654000+00:00,2026-06-04 20:39:12.495000+00:00,121.79735,104.81335,8270,6316,9477,6104,705,0,2049,452,452,414,4,2,0,1433,3,3,441,441,441,4883,131,50,2118,104,36,20,10,0,10,43,43,141,205,0.222,0.229,0,,2,0,2.563433333333333,19,413,6,9,4,142,48,37,0,0,110,61,99,0,3,26,139,14,0,4,46,4,267.649,469,147,444,407,403,432,2.3195,7,True,True,True,4,0,1,1,0,long-range,0.9532710280373832,idle,0,,131,38,93,13,37,49,15,0,17,21,0,10,12,0,0,4,Cleric;Wizard;Ranger;Bard,4.312427758486872,46.58757686878628,0.4102530832188839,78.90216274930627,60.25949938629001,bg3-study-export-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z__bg3-study-survey-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z.json,975d4147a212233730e9fc40c0a3315f8c49a25b939f803e8182b637fc27a3f0,2026-06-04T20:39:12.496Z,1780605552496,2026-06-04T18:38:38.892Z,2026-06-04T20:39:12.492Z,True,True,True,2.0,3.0,3.0,3.0,4.0,False,False,False,False,False,True,True,False,False,,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,False,False,False,False,False,True,True,False,True,False,False,The visualization is very intuitive and helps in exploring strengths and weaknesses of the party,First time opening the tool is a little overwhelming and takes a bit of getting used to,"Personally I prefer to build my party based on roleplay, but this helps me visualize the build I created","It would be nice to see even more information about the build, for example some algorithm that recommends what to change",,,,2.6666666666666665,2.75,moderate,4.5,4.333333333333333,5.0,5.0,4.7272727272727275,True,,,,,,,,,False,0.05948418210178465,0.31908030079826794,0.5934321351202877,-0.010653411587671954,0.17263991712635518
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,bg3-study-export-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z__bg3-study-log-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z.jsonl,2937d00780231bb204111cdf2428b7c600c5fc7a9ca8f11504cea099b877e955,3099,2026-06-04 18:51:51.381000+00:00,2026-06-04 19:21:09.164000+00:00,29.29638333333333,22.387916666666666,1363,1021,1664,850,261,0,327,62,62,108,2,0,0,244,4,4,76,76,76,477,6,19,60,0,2,0,0,0,0,36,36,9,9,12.871,12.871,0,,1,0,3.413883333333333,14,60,3,2,2,7,11,6,0,0,38,7,1,0,0,3,13,0,0,4,19,4,51.479,20,338,62,60,60,62,0.5575,7,True,True,True,4,0,2,2,0,healing;long-range,0.6785714285714286,idle,0,,19,5,14,0,2,5,1,0,1,4,0,9,6,0,0,1,Warlock;Warlock;Warlock;Warlock,2.7693510264093355,21.30613612253634,1.608010273398969,60.88105562896652,45.60495803167632,bg3-study-export-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z__bg3-study-survey-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z.json,0a02eb60261807379db9abb7c2aab9bf7ffd5a26d056d1225bf443e1f6203185,2026-06-04T19:21:09.164Z,1780600869164,2026-06-04T19:01:27.723Z,2026-06-04T19:21:09.162Z,True,True,True,1.0,1.0,2.0,1.0,1.0,False,True,False,True,False,True,False,True,True,,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,False,False,False,False,False,True,True,False,False,False,False,The initial tutorial,overlapping text or cut out,It was my first time,expandable side menus,,,,1.0,1.25,low,3.5,3.6666666666666665,3.75,3.5,3.6363636363636362,True,,,,,,,,,False,-1.80673409304118,-2.3308880973807504,-1.1732584383333395,-1.5064289428352833,-0.5038057523624696
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,bg3-study-export-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z__bg3-study-log-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z.jsonl,adfdbabd9498d59b1fce7a5330153fe3bbae736f2b7e600cdf52b45a9c9511ec,19216,2026-06-05 12:55:32.235000+00:00,2026-06-05 16:19:05.605000+00:00,203.55616666666663,137.52913333333333,8668,5485,10524,6023,1424,0,1929,759,759,730,8,3,1,2354,6,6,596,596,596,3064,162,47,1130,9,100,12,6,0,6,57,57,275,394,3.711,15.3805,15,34.065,16,4,8.382566666666667,16,565,12,18,11,246,127,124,0,0,315,135,115,0,0,65,125,4,0,4,42,4,169.04,560,249,748,558,712,735,1.656,7,True,True,True,4,0,1,1,0,long-range,0.9473684210526316,idle,0,,116,44,72,21,22,40,15,0,18,26,0,10,12,0,0,4,Rogue;Sorcerer;Cleric;Fighter,5.518830676845682,22.27891593393303,0.4144576397631144,63.02664599064344,39.882458843871625,bg3-study-export-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z__bg3-study-survey-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z.json,4ee45e9f2df5e9d2eb71d74a0c0e5c8c690c17b56327ff5592efb28341d37d57,2026-06-05T16:19:05.605Z,1780676345605,2026-06-05T12:56:45.610Z,2026-06-05T16:19:05.602Z,True,True,True,1.0,2.0,2.0,3.0,5.0,True,True,False,False,False,False,True,True,False,,2.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,True,True,True,True,False,False,False,False,False,False,False,"I went into this with zero knowledge on Baldur's Gate 3, so I did not know anything. I used the circle on the right to understand the abilities of each class/race (e.g., whether they did fire damage or acid damage or how the extent of their utility). I noticed on my second character that there were differences per race, so I tried to make my third and fourth character based on race. This was to maybe fill in the gaps that could be there. So, I basically looked more at the third tab when setting up a character at this point. ","Whenever I wanted to try out my build it said that the server was occupied. So, I did not get to actually try out many things or see the synergy between my characters. I just used my usual playstyle in games to assess what I would like my party to have.","I think I was more aware of everything. I usually avoid details when I plan a party or build a character. I prefer to just play the party to see what I think about it and if the party achieves what I made it for. I have the same with spells where I just want to try them out or watch a video to see what they do. When I build characters I always look up a guide if it is not provided in the game. So, I usually don't really think about it in this much detail. I liked it though. I thought it was pleasant to do and was curious how good the party that I was creating would be in the game.","I would add more explanations in the form of tooltips especially for the ability scores. I had to search up a lot of definitions and what would be good for my character. So, I would have liked it if the tool explained to me what Wisdom, Intelligence, Charisma, History, Athletics, Perception, etc. would change to my character. ",My interest in Baldur's Gate 3 increased while making my characters mainly because I was curious about what these characters would be like in game. ,,,2.0,2.0,low,2.5,3.0,4.25,4.0,3.5454545454545454,True,,,,,,,,,False,0.9170514005505476,2.164118601203778,-0.05060970554060201,1.1741950893091673,0.2649481015093053
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,bg3-study-export-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z (1)__bg3-study-log-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z.jsonl,612f6064e47233b1fe9b7f4f18da763dcbafe19d5e61bf939e92fb264c17854a,15025,2026-06-10 21:16:47.595000+00:00,2026-06-10 22:39:00.540000+00:00,82.21575,49.367466666666665,7705,6070,7295,5372,667,0,676,375,375,417,5,1,0,1177,3,3,356,356,356,4818,310,35,1650,44,30,8,4,0,4,34,34,145,198,0.13,19.899,0,,1,1,34.90488333333333,15,337,5,4,4,91,36,21,0,0,95,36,67,0,0,27,150,0,0,4,61,5,117.981,938,588,372,335,364,368,1.3875000000000002,7,True,True,True,4,0,1,1,0,long-range,0.940119760479042,idle,0,,112,36,76,8,31,33,11,0,2,34,0,10,11,0,0,4,Bard;Rogue;Warlock;Paladin,7.596095674344237,97.59463722397476,0.6887126744738775,156.0744457888596,122.95546864871872,bg3-study-export-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z (1)__bg3-study-survey-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z.json,161dd807f77a1da70533eecd8e493601200d190cfb48bc12da79f14f28edfa92,2026-06-10T22:39:00.540Z,1781131140540,2026-06-10T21:52:19.610Z,2026-06-10T22:39:00.538Z,True,True,True,3.0,3.0,2.0,2.0,3.0,False,True,False,False,False,True,False,False,True,,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,False,False,True,False,False,False,False,False,True,False,False,Ease of use,There's a bit of a learning curve,"not much, I used it for fun and I usually don't optimise builds",Maybe warnings on significant overlap?,,,,2.6666666666666665,2.5,high,3.5,3.6666666666666665,3.75,3.5,3.6363636363636362,True,,,,,,,,,False,-0.1371518971227364,-0.23150623600871256,0.6028628085251481,0.07817473820160786,-0.3369093280465055
