participant_id,session_id,source_file,user_agent,platform,time_zone_offset_min,screen_width,screen_height,viewport_width,viewport_height,device_pixel_ratio,mobile_like_viewport
participant-mq748vre-54ccf6,participant-mq748vre-54ccf6,BG3 4th Party__bg3-study-log-participant-mq748vre-54ccf6-2026-06-09T21-45-05-045Z.jsonl,,,,,,,,,False
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,bg3-study-export-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z__bg3-study-log-participant-mpya2p1q-46ef0b-2026-06-03T18-20-52-897Z.jsonl,,,,,,,,,False
participant-mpzu7yfi-18b55e,participant-mpzu7yfi-18b55e,bg3-study-export-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z__bg3-study-log-participant-mpzu7yfi-18b55e-2026-06-04T20-39-12-496Z.jsonl,,,,,,,,,False
participant-mpzuqjdb-edb342,participant-mpzuqjdb-edb342,bg3-study-export-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z__bg3-study-log-participant-mpzuqjdb-edb342-2026-06-04T19-21-09-164Z.jsonl,,,,,,,,,False
participant-mpzxp2jz-c463ae,participant-mpzxp2jz-c463ae,bg3-study-export-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z__bg3-study-log-participant-mpzxp2jz-c463ae-2026-06-05T16-19-05-605Z.jsonl,,,,,,,,,False
participant-mq000vqm-dbf8fe,participant-mq000vqm-dbf8fe,bg3-study-export-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z (1)__bg3-study-log-participant-mq000vqm-dbf8fe-2026-06-10T22-39-00-540Z.jsonl,,,,,,,,,False
participant-mq005qw8-a6ac91,participant-mq005qw8-a6ac91,bg3-study-export-participant-mq005qw8-a6ac91-2026-06-04T22-03-53-232Z__bg3-study-log-participant-mq005qw8-a6ac91-2026-06-04T22-03-53-232Z.jsonl,,,,,,,,,False
participant-mq0uvjt0-011c95,participant-mq0uvjt0-011c95,bg3-study-export-participant-mq0uvjt0-011c95-2026-06-05T14-08-29-473Z__bg3-study-log-participant-mq0uvjt0-011c95-2026-06-05T14-08-29-473Z.jsonl,,,,,,,,,False
participant-mq0zhvzs-7029a5,participant-mq0zhvzs-7029a5,bg3-study-export-participant-mq0zhvzs-7029a5-2026-06-05T14-40-03-030Z__bg3-study-log-participant-mq0zhvzs-7029a5-2026-06-05T14-40-03-030Z.jsonl,,,,,,,,,False
participant-mq2ql73p-7cf181,participant-mq2ql73p-7cf181,bg3-study-export-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z__bg3-study-log-participant-mq2ql73p-7cf181-2026-06-06T21-22-33-946Z.jsonl,,,,,,,,,False
participant-mq3eh42s-fb2cf2,participant-mq3eh42s-fb2cf2,bg3-study-export-participant-mq3eh42s-fb2cf2-2026-06-07T07-22-34-270Z__bg3-study-log-participant-mq3eh42s-fb2cf2-2026-06-07T07-22-34-270Z.jsonl,,,,,,,,,False
participant-mq3o607h-2af78e,participant-mq3o607h-2af78e,bg3-study-export-participant-mq3o607h-2af78e-2026-06-07T11-40-14-877Z__bg3-study-log-participant-mq3o607h-2af78e-2026-06-07T11-40-14-877Z.jsonl,,,,,,,,,False
participant-mq5aoq7u-493cb0,participant-mq5aoq7u-493cb0,bg3-study-export-participant-mq5aoq7u-493cb0-2026-06-08T22-14-23-540Z__bg3-study-log-participant-mq5aoq7u-493cb0-2026-06-08T22-14-23-540Z.jsonl,,,,,,,,,False
participant-mq6h4za4-3dd8ed,participant-mq6h4za4-3dd8ed,bg3-study-export-participant-mq6h4za4-3dd8ed-2026-06-09T11-00-52-013Z__bg3-study-log-participant-mq6h4za4-3dd8ed-2026-06-09T11-00-52-013Z.jsonl,,,,,,,,,False
participant-mq6wl4tc-aa847e,participant-mq6wl4tc-aa847e,bg3-study-export-participant-mq6wl4tc-aa847e-2026-06-09T19-28-27-905Z__bg3-study-log-participant-mq6wl4tc-aa847e-2026-06-09T19-28-27-905Z.jsonl,,,,,,,,,False
participant-mq70m2z5-437293,participant-mq70m2z5-437293,bg3-study-export-participant-mq70m2z5-437293-2026-06-10T01-27-42-267Z (1)__bg3-study-log-participant-mq70m2z5-437293-2026-06-10T01-27-42-267Z.jsonl,,,,,,,,,False
participant-mq74r16t-8b9959,participant-mq74r16t-8b9959,bg3-study-export-participant-mq74r16t-8b9959-2026-06-09T22-03-06-089Z__bg3-study-log-participant-mq74r16t-8b9959-2026-06-09T22-03-06-089Z.jsonl,,,,,,,,,False
participant-mq86r5q8-62d0e9,participant-mq86r5q8-62d0e9,bg3-study-export-participant-mq86r5q8-62d0e9-2026-06-10T15-39-51-120Z__bg3-study-log-participant-mq86r5q8-62d0e9-2026-06-10T15-39-51-120Z.jsonl,,,,,,,,,False
participant-mq89l4pr-50d828,participant-mq89l4pr-50d828,bg3-study-export-participant-mq89l4pr-50d828-2026-06-11T08-13-40-333Z__bg3-study-log-participant-mq89l4pr-50d828-2026-06-11T08-13-40-333Z.jsonl,,,,,,,,,False
participant-mq9rrhhc-33dea0,participant-mq9rrhhc-33dea0,bg3-study-export-participant-mq9rrhhc-33dea0-2026-06-11T18-21-37-464Z__bg3-study-log-participant-mq9rrhhc-33dea0-2026-06-11T18-21-37-464Z.jsonl,,,,,,,,,False
participant-mqb4fag6-6ad1d5,participant-mqb4fag6-6ad1d5,bg3-study-export-participant-mqb4fag6-6ad1d5-2026-06-12T19-01-54-690Z__bg3-study-log-participant-mqb4fag6-6ad1d5-2026-06-12T19-01-54-690Z.jsonl,,,,,,,,,False
participant-mqbpu17e-3a95f6,participant-mqbpu17e-3a95f6,bg3-study-export-participant-mqbpu17e-3a95f6-2026-06-13T03-06-00-688Z(1)__bg3-study-log-participant-mqbpu17e-3a95f6-2026-06-13T03-06-00-688Z.jsonl,,,,,,,,,False
participant-mqbpu8zh-63581d,participant-mqbpu8zh-63581d,bg3-study-export-participant-mqbpu8zh-63581d-2026-06-13T02-55-33-880Z__bg3-study-log-participant-mqbpu8zh-63581d-2026-06-13T02-55-33-880Z.jsonl,,,,,,,,,False
participant-mqbro0lo-88d5a7,participant-mqbro0lo-88d5a7,bg3-study-export-participant-mqbro0lo-88d5a7-2026-06-13T03-50-07-114Z__bg3-study-log-participant-mqbro0lo-88d5a7-2026-06-13T03-50-07-114Z.jsonl,,,,,,,,,False
participant-mqbsmuwn-832271,participant-mqbsmuwn-832271,bg3-study-export-participant-mqbsmuwn-832271-2026-06-13T04-08-56-180Z__bg3-study-log-participant-mqbsmuwn-832271-2026-06-13T04-08-56-180Z.jsonl,,,,,,,,,False
participant-mqbtnitc-2035a0,participant-mqbtnitc-2035a0,bg3-study-export-participant-mqbtnitc-2035a0-2026-06-13T04-27-24-110Z__bg3-study-log-participant-mqbtnitc-2035a0-2026-06-13T04-27-24-110Z.jsonl,,,,,,,,,False
Uriel_Septim_VII,Uriel_Septim_VII,bg3-study-export-Uriel_Septim_VII-2026-06-02T11-56-49-064Z(1)__bg3-study-log-Uriel_Septim_VII-converted-new-format(1).jsonl,,,,,,,,,False
Yoloman,Yoloman,bg3-study-export-Yoloman-2026-06-03T13-13-34-575Z__bg3-study-log-Yoloman-converted-new-format(1).jsonl,,,,,,,,,False
